866375000,125000
864875000,41700
869875000,125000
868625000,41700
865500000,125000
867625000,41700
863625000,125000
864500000,41700
866125000,125000
864250000,41700
865875000,125000
868250000,41700
865375000,125000
869625000,41700
864625000,125000
869375000,41700
868125000,125000
863875000,41700
869000000,125000
864000000,41700
866750000,125000
863750000,41700
868000000,125000
868375000,41700
866000000,125000
868875000,41700
865000000,125000
867000000,41700
865750000,125000
863500000,41700
866500000,125000
869500000,41700
863125000,125000
866250000,41700
863000000,125000
869250000,41700
865625000,125000
864750000,41700
867500000,125000
868500000,41700
868750000,125000
867875000,41700
866875000,125000
865125000,41700
867375000,125000
869750000,41700
864125000,125000
868100000,41700
867125000,125000
868000000,41700
869100000,125000
865250000,41700
868500000,125000
863375000,41700
869800000,125000
